Mandant|Buchungskreis|Werk|Buchungsdatum|Belegdatum|Materialdokument|Pos|Material|Materialkurztext|Bewegungsart|Menge|Einheit|Betrag_in_HW|Waehrung|Lieferant|Buchungstext|Kostenstelle|Lagerort|Benutzername
100|1000|PL01|21.01.2023|21.01.2023|5000010001|1|DIESEL001|Dieselkraftstoff|261|993.24|L|67388.83|INR|V-K009|Tanken Generator Mumbai|KST-LOG-02|SL01|AKUMAR
100|1000|PL01|07.01.2023|06.01.2023|5000010002|1|DIESEL001|Dieselkraftstoff|261|848.996|L|63096.76|INR|V-K005||KST-MNT-01|SL01|KVELU
100|1000|PL01|26.01.2023|25.01.2023|5000010003|1|DIESEL001|Diesel|261|672.2|L|51938.94|INR|V-K002|Auffuellung Fahrzeugflotte Mumbai|KST-MNT-01|SL01|DRAO
100|1000|PL01|24.01.2023|21.01.2023|5000010004|1|DIESEL001|Dieselkraftstoff|261|1178.493|L|85558.01|INR|V-RELI1|Tanken Fahrzeugflotte Mumbai|KST-LOG-02|SL01|DRAO
100|1000|PL01|22.01.2023|21.01.2023|5000010005|1|DIESEL001|Diesel|261|1188.177|L|90565.1|INR|V-RELI1|Verbrauch Kantine Mumbai|KST-OPS-03|SL01|DRAO
100|1000|PL01|23.01.2023|23.01.2023|5000010006|1|DIESEL001|Dieselkraftstoff|261|827.312|L|59206.78|INR|V-BPCL1|Tanken Heizung Mumbai|KST-FAC-01|SL01|MGUPTA
100|1000|PL01|27.01.2023|27.01.2023|5000010007|1|DIESEL001|Diesel|261|720.932|L|55338.26|INR|V-K004|Entnahme DG-Set Mumbai|KST-FAC-07|SL01|NREDDY
100|1000|PL01|09.01.2023|08.01.2023|5000010008|1|DIESEL001|Dieselkraftstoff|261|995.991|L|74545.54|INR|V-K006|Tanken Fahrzeugflotte Mumbai|KST-OPS-03|SL01|PSINGH
100|1000|PL01|28.01.2023|28.01.2023|5000010009|1|PETRL001|Benzin|261|256.862|L|24351.64|INR|V-K008|Tanken Generator Mumbai|KST-FAC-02|SL01|MGUPTA
100|1000|PL01|22.01.2023|20.01.2023|5000010010|1|PETRL001|Motorenbenzin|261|127.888|L|12186.34|INR|V-K005|Tanken Kantine Mumbai|KST-PRD-02|SL01|MGUPTA
100|1000|PL01|27.01.2023|26.01.2023|5000010011|1|PETRL001|Benzin|261|193.478|L|19921.61|INR|V-K010||KST-FAC-07|SL01|DRAO
100|1000|PL01|12.01.2023|10.01.2023|5000010012|1|PETRL001|Benzin|261|114.481|L|11776.1|INR|V-K002|Verbrauch Notstromaggregat Mumbai|KST-LOG-01|SL01|KVELU
100|1000|PL01|18.01.2023|17.01.2023|5000010013|1|PETRL001|Motorenbenzin|261|231.918|L|23918.31|INR|V-BPCL1|Auffuellung Notstromaggregat Mumbai|KST-PRD-01|SL01|PSINGH
100|1000|PL01|17.01.2023|14.01.2023|5000010014|1|PETRL001|Benzin|261|161.976|L|14358.05|INR|V-K001|Verbrauch Generator Mumbai|KST-PRD-01|SL01|AKUMAR
100|1000|PL01|02.01.2023|31.12.2022|5000010015|1|LPG00001|Fluessiggas|261|55.708|KG|5002.02|INR|V-ESSAR|Entnahme Wartung Mumbai|KST-LOG-02|SL01|TLAXMAN
100|1000|PL01|07.01.2023|07.01.2023|5000010016|1|LPG00001|Fluessiggas|261|62.949|KG|5584.83|INR|V-IOCL1|Auffuellung Generator Mumbai|KST-OPS-02|SL01|NREDDY
100|1000|PL01|08.01.2023|07.01.2023|5000010017|1|LPG00001|Fluessiggas|261|56.814|KG|4854.31|INR|V-K002|Nutzung Generator Mumbai|KST-PRD-02|SL01|SPRIYA
100|1000|PL01|02.02.2023|02.02.2023|5000010018|1|DIESEL001|Dieselkraftstoff|261|1141.094|L|77772.29|INR|V-K007|Tanken Wartung Mumbai|KST-OPS-01|SL01|RPANDEY
100|1000|PL01|09.02.2023|06.02.2023|5000010019|1|DIESEL001|Diesel|261|738.406|L|57379.51|INR|V-K003|Tanken Fahrzeugflotte Mumbai|KST-FAC-02|SL01|PSINGH
100|1000|PL01|24.02.2023|22.02.2023|5000010020|1|DIESEL001|Dieselkraftstoff|261|440.114|L|33814.55|INR|V-K009|Nutzung Generator Mumbai|KST-MNT-01|SL01|AKUMAR
100|1000|PL01|22.02.2023|21.02.2023|5000010021|1|DIESEL001|Diesel|261|495.909|L|34255.61|INR|V-K007|Auffuellung Kantine Mumbai|KST-LOG-02|SL01|NREDDY
100|1000|PL01|07.02.2023|05.02.2023|5000010022|1|DIESEL001|Dieselkraftstoff|261|612.492|L|45126.06|INR|V-ESSAR|Nutzung Generator Mumbai|KST-OPS-01|SL01|AKUMAR
100|1000|PL01|03.02.2023|02.02.2023|5000010023|1|DIESEL001|Diesel|261|505.965|L|33916.09|INR|V-K008|Nutzung Fahrzeugflotte Mumbai|KST-LOG-01|SL01|ASAXEN
100|1000|PL01|22.02.2023|20.02.2023|5000010024|1|DIESEL001|Dieselkraftstoff|261|1151.144|L|77782.5|INR|V-K005|Auffuellung Heizung Mumbai|KST-LOG-02|SL01|VMEHTA
100|1000|PL01|22.02.2023|20.02.2023|5000010025|1|DIESEL001|Diesel|261|600.897|L|40155.06|INR|V-K001|Auffuellung DG-Set Mumbai|KST-FAC-03|SL01|RJOSHI
100|1000|PL01|24.02.2023|21.02.2023|5000010026|1|PETRL001|Motorenbenzin|261|240.227|L|24703.98|INR|V-K001|Verbrauch Wartung Mumbai|KST-FAC-03|SL01|ASAXEN
100|1000|PL01|05.02.2023|05.02.2023|5000010027|1|PETRL001|Motorenbenzin|261|191.163|L|19738.14|INR|V-IOCL1|Nutzung Wartung Mumbai|KST-LOG-03|SL01|PSINGH
100|1000|PL01|20.02.2023|19.02.2023|5000010028|1|PETRL001|Benzin|261|316.151|L|31859.63|INR|V-BPCL1|Entnahme Heizung Mumbai|KST-FAC-03|SL01|RPANDEY
100|1000|PL01|09.02.2023|08.02.2023|5000010029|1|PETRL001|Benzin|261|195.635|L|18692.88|INR|V-K006|Verbrauch Heizung Mumbai|KST-MNT-01|SL01|VMEHTA
100|1000|PL01|01.02.2023|31.01.2023|5000010030|1|PETRL001|Motorenbenzin|261|182.065|L|18783.9|INR|V-K007|Tanken Generator Mumbai|KST-MNT-01|SL01|NREDDY
100|1000|PL01|09.02.2023|08.02.2023|5000010031|1|PETRL001|Motorenbenzin|261|109.564|L|10258.45|INR|V-K009|Verbrauch Kantine Mumbai|KST-FAC-05|SL01|AKUMAR
100|1000|PL01|02.02.2023|30.01.2023|5000010032|1|LPG00001|Fluessiggas|261|55.996|KG|5190.31|INR|V-K004|Auffuellung Produktion Mumbai|KST-FAC-05|SL01|DRAO
100|1000|PL01|22.02.2023|22.02.2023|5000010033|1|LPG00001|LPG|261|55.356|KG|4843.49|INR|V-K004|Verbrauch Kantine Mumbai|KST-LOG-03|SL01|GMISHRA
